PRIMARY ARTICUL;ALTERNATIVE ARTICUL;BRAND
BPR6HS;7022;ngk
BKUR7ET;7873;ngk
BR6FS;4323;ngk
IRIWAY8;4882;ngk
BKR5EGP;7090;ngk
CR10E;6264;ngk
C8HA;2168;ngk
BPR5EP-11;3971;ngk
LZTR4A-11;5444;ngk
BP4EY;1028;ngk
ILTR5A-13G;3811;ngk
CR5HSB;6535;ngk
PLFR6A-11;7654;ngk
ZKBR7A-HTU;91785;ngk
PFR6N-11;3546;ngk
LZTR5A-13;4612;ngk
BR2-LM;5798;ngk
BM7A;6521;ngk
BPR6EGP;7084;ngk
BKR5EK;7956;ngk
TR5AI-13;90813;ngk
BK6E;3536;ngk
BKR6EKUB;3584;ngk
B9HS;5810;ngk
BM6A;5921;ngk
BPR5ES;7422;ngk
BCPR5ES-11;3524;ngk
BKR5EKPB-11;4302;ngk
BKR5EKPB-11;4320;ngk
IFR5D-10;4696;ngk
DR8EIX;6681;ngk
BP7ES;2412;ngk
BR4-LM;4133;ngk
PFR7B;4853;ngk
BP5HS;4111;ngk
BP5ESZ;4691;ngk
PFR6W-T;6740;ngk
IFR5N10;7866;ngk
BPR5EY-11;3028;ngk
BCPR6EP-11;3350;ngk
BCPR6EY-11;3720;ngk
PLZKAR6A-11;5118;ngk
CR9EB;6955;ngk
BCPR5EY;1266;ngk
BKR5EYA-11;2526;ngk
BKR5EYA-11;4194;ngk
BKR5EYA-11;5776;ngk
BKR5EYA-11;4194;ngk
BPR8ES;3923;ngk
BKR5EKB-11;3967;ngk
BKR5EKB-11;4197;ngk
BKR5EKB-11;7804;ngk
PFR7G;4364;ngk
BP6EY;7727;ngk
BP6EY;6278;ngk
CR8E;1275;ngk
IFR6G-11K;1314;ngk
BKR6EKPB-11;3452;ngk
DCPR8E;4339;ngk
BPR6ES;7822;ngk
TR5;2238;ngk
TR5;7837;ngk
B8ES;2411;ngk
BPR7EIX;4055;ngk
ZFR6K-11;6711;ngk
PZFR5N-11T;7742;ngk
IGR7A-G;3106;ngk
B5HS;4210;ngk
IGR6A-11;5743;ngk
DCPR7E;3932;ngk
LFR5AIX-11;4469;ngk
BP6ESZ;7639;ngk
ILKR7B8;1989;ngk
PFR5B-11;2300;ngk
PFR5B-11;2450;ngk
LZFR6AI;3656;ngk
BKR5EIX;6341;ngk
PFR6B;3500;ngk
IFR6T-11;4589;ngk
IFR5T-11;4996;ngk
LFR6A-11;3672;ngk
BR8ES;3961;ngk
BR8ES;5422;ngk
B8HS;5510;ngk
ILZFR6D-11;1208;ngk
BKR5ES-11;2382;ngk
CR8EK;3478;ngk
IFR5G-11K;3107;ngk
ILFR6A;3588;ngk
BPR6EFS;3623;ngk
BP6EFS;3812;ngk
BKR6ES-11;5553;ngk
LPG6;1565;ngk
LZKR6B-10E;1578;ngk
FR6EI;2687;ngk
IMR9C-9HES;5766;ngk
BUR6EFSZ;6837;ngk
BCPR6ES-11;7121;ngk
PFR5N-11;5838;ngk
BPR6EF;1183;ngk
BPR6EF;4665;ngk
BP5ET;2287;ngk
BKR5EVX;2546;ngk
ZFR7F;5913;ngk
BKR6EGP;7092;ngk
PFR5C-11;2271;ngk
B-6L;3212;ngk
IFR6D10;5344;ngk
DCPR7EIX;6046;ngk
PTR5D-13;6644;ngk
BCP5ES;7496;ngk
BR7HS-10;1098;ngk
BR7HS-10;7829;ngk
CR9EK;4548;ngk
SILFR6A11;5468;ngk
ILFR6B;6481;ngk
BKR6EPA-8;6485;ngk
PZFR5C;6537;ngk
PZFR6F;7550;ngk
PZFR5D-11;7968;ngk
BKR7EIX;2667;ngk
BPR6EY-11;4228;ngk
CR7E;4578;ngk
B7HS;5110;ngk
PFR6X-11;5757;ngk
PZFR6J-11;3586;ngk
FR5AP-11;5463;ngk
BP8HS-15;6729;ngk
TR55;1048;ngk
TR55;3951;ngk
LPG1;1496;ngk
BKUR6ET-10;2397;ngk
BKR6EIX;6418;ngk
BKR6EKUD;6503;ngk
PFR6G-9;4377;ngk
CR9EH-9;5454;ngk
CR9EH-9;7502;ngk
IZFR5G;5887;ngk
BPR5ES-11;4424;ngk
FR5-1;7252;ngk
BKR6E-11;2756;ngk
BKR6E-11;6465;ngk
CR8EHIX-9;3797;ngk
PFR5R-11;4292;ngk
ILKAR7B11;4912;ngk
HB6BIX-11P;5705;ngk
BKR6E;6962;ngk
BKR7E-11;1283;ngk
B8EGP;2046;ngk
B7HS-10;2129;ngk
