# comments look like this
1;Амортизаторы подвески;амортизатор
2;Сцепление;сцепление
3;Насосы топливные;насос топливный,бензонасос
4;Топливные фильтры;фильтр бензонасоса,топливный фильтр,фильтр топливный
5;Тормозные суппорты;суппорт тормозной
6;Сайлентблоки, втулки подвески;сайлентблок
7;Тормозные трубки;трубка тормозная
